Champion,Talent,Card,Card Level,Winrate,Match Count,Confidence Interval -,Confidence Interval +
Grohk,Spirit's Domain,Gale,1,49%,224,41%,58%
Grohk,Spirit's Domain,Thunderlord,1,49%,188,40%,58%
Grohk,Spirit's Domain,Arc Lightning,1,49%,171,39%,58%
Grohk,Spirit's Domain,Lightning Rod,1,49%,128,38%,60%
Grohk,Totemic Ward,Spirit's Grace,5,62%,"21,382",61%,63%
Grohk,Totemic Ward,Crackle,5,62%,"7,146",61%,64%
Grohk,Totemic Ward,Shamanic Might,5,63%,605,58%,68%
Grohk,Totemic Ward,Totemic Rescue,5,60%,676,55%,65%
Grohk,Totemic Ward,Monolith Totem,5,59%,"1,187",55%,62%
Grohk,Totemic Ward,Gale,5,56%,"16,222",55%,57%
Grohk,Totemic Ward,Haunting,5,57%,"1,705",54%,60%
Grohk,Totemic Ward,Astral Traveler,5,63%,127,53%,74%
Grohk,Totemic Ward,Lightning Rod,5,59%,523,53%,64%
Grohk,Totemic Ward,Outreach,5,54%,"9,337",53%,56%
Grohk,Totemic Ward,Phantom,5,59%,329,52%,66%
Grohk,Totemic Ward,Thunderlord,5,56%,697,51%,61%
Grohk,Totemic Ward,Arc Lightning,5,54%,422,48%,61%
Grohk,Totemic Ward,Electrostatic,5,50%,213,41%,58%
Grohk,Totemic Ward,Thunderstruck,5,53%,58,37%,69%
Grohk,Totemic Ward,Conduit,5,42%,38,23%,61%
Grohk,Totemic Ward,Crackle,4,61%,"4,354",59%,63%
Grohk,Totemic Ward,Spirit's Grace,4,60%,"8,162",58%,61%
Grohk,Totemic Ward,Gale,4,59%,"7,087",58%,61%
Grohk,Totemic Ward,Shamanic Might,4,61%,"1,504",57%,64%
Grohk,Totemic Ward,Monolith Totem,4,59%,"2,589",57%,62%
Grohk,Totemic Ward,Thunderlord,4,60%,792,56%,65%
Grohk,Totemic Ward,Outreach,4,58%,"5,809",56%,59%
Grohk,Totemic Ward,Totemic Rescue,4,61%,379,54%,67%
Grohk,Totemic Ward,Haunting,4,57%,"2,484",54%,59%
Grohk,Totemic Ward,Phantom,4,57%,949,53%,61%
Grohk,Totemic Ward,Astral Traveler,4,58%,258,51%,66%
Grohk,Totemic Ward,Electrostatic,4,57%,447,51%,63%
Grohk,Totemic Ward,Arc Lightning,4,55%,979,51%,59%
Grohk,Totemic Ward,Lightning Rod,4,55%,864,51%,59%
Grohk,Totemic Ward,Thunderstruck,4,56%,169,47%,66%
Grohk,Totemic Ward,Conduit,4,56%,90,43%,69%
Grohk,Totemic Ward,Shamanic Might,3,61%,"2,475",59%,64%
Grohk,Totemic Ward,Gale,3,60%,"5,835",59%,62%
Grohk,Totemic Ward,Crackle,3,60%,"5,713",58%,62%
Grohk,Totemic Ward,Monolith Totem,3,60%,"5,695",58%,62%
Grohk,Totemic Ward,Haunting,3,60%,"4,583",58%,61%
Grohk,Totemic Ward,Spirit's Grace,3,60%,"4,236",58%,61%
Grohk,Totemic Ward,Outreach,3,59%,"9,391",58%,60%
Grohk,Totemic Ward,Totemic Rescue,3,60%,"1,281",57%,64%
Grohk,Totemic Ward,Thunderlord,3,59%,"2,150",56%,61%
Grohk,Totemic Ward,Arc Lightning,3,58%,829,54%,63%
Grohk,Totemic Ward,Astral Traveler,3,56%,"2,796",54%,59%
Grohk,Totemic Ward,Phantom,3,57%,"1,296",53%,60%
Grohk,Totemic Ward,Electrostatic,3,55%,"1,448",52%,59%
Grohk,Totemic Ward,Thunderstruck,3,56%,390,50%,63%
Grohk,Totemic Ward,Lightning Rod,3,55%,593,49%,60%
Grohk,Totemic Ward,Conduit,3,53%,213,45%,62%
Grohk,Totemic Ward,Monolith Totem,2,60%,"5,766",59%,62%
Grohk,Totemic Ward,Gale,2,61%,"2,811",58%,63%
Grohk,Totemic Ward,Shamanic Might,2,61%,"1,994",58%,63%
Grohk,Totemic Ward,Totemic Rescue,2,61%,"1,833",58%,64%
Grohk,Totemic Ward,Outreach,2,60%,"7,671",58%,61%
Grohk,Totemic Ward,Crackle,2,59%,"4,534",57%,61%
Grohk,Totemic Ward,Phantom,2,59%,"1,778",56%,62%
Grohk,Totemic Ward,Spirit's Grace,2,58%,"2,621",56%,61%
Grohk,Totemic Ward,Electrostatic,2,58%,"1,065",54%,62%
Grohk,Totemic Ward,Astral Traveler,2,55%,"9,491",54%,56%
Grohk,Totemic Ward,Thunderlord,2,57%,"1,226",53%,60%
Grohk,Totemic Ward,Haunting,2,54%,"7,787",53%,56%
Grohk,Totemic Ward,Thunderstruck,2,56%,"1,205",52%,59%
Grohk,Totemic Ward,Lightning Rod,2,57%,491,51%,62%
Grohk,Totemic Ward,Arc Lightning,2,55%,564,50%,60%
Grohk,Totemic Ward,Conduit,2,49%,169,39%,58%
Grohk,Totemic Ward,Shamanic Might,1,62%,"5,660",60%,64%
Grohk,Totemic Ward,Gale,1,62%,"1,984",60%,65%
Grohk,Totemic Ward,Outreach,1,61%,"7,893",59%,62%
Grohk,Totemic Ward,Monolith Totem,1,61%,"7,802",59%,62%
Grohk,Totemic Ward,Haunting,1,61%,"2,625",58%,63%
Grohk,Totemic Ward,Thunderstruck,1,61%,"1,438",58%,64%
Grohk,Totemic Ward,Totemic Rescue,1,60%,"3,083",58%,63%
Grohk,Totemic Ward,Thunderlord,1,60%,"1,958",58%,63%
Grohk,Totemic Ward,Lightning Rod,1,61%,787,57%,66%
Grohk,Totemic Ward,Astral Traveler,1,59%,"5,926",57%,60%
Grohk,Totemic Ward,Electrostatic,1,59%,"1,974",56%,62%
Grohk,Totemic Ward,Arc Lightning,1,59%,609,54%,64%
Grohk,Totemic Ward,Phantom,1,57%,"1,901",54%,60%
Grohk,Totemic Ward,Crackle,1,54%,"7,892",53%,56%
Grohk,Totemic Ward,Spirit's Grace,1,55%,"1,770",52%,58%
Grohk,Totemic Ward,Conduit,1,51%,320,44%,58%
Grover,Deep Roots,Nature's Quickness,5,100%,1,56%,100%
Grover,Deep Roots,Verdant Expanse,5,55%,"12,984",54%,56%
Grover,Deep Roots,Fatalis,5,54%,"15,108",53%,55%
Grover,Deep Roots,Chop Down,5,53%,"11,436",52%,54%
Grover,Deep Roots,Gentle Breeze,5,57%,376,51%,64%
Grover,Deep Roots,Unstoppable,5,54%,"1,676",51%,58%
Grover,Deep Roots,Perennial,5,53%,"7,785",51%,54%
Grover,Deep Roots,Adrenaline,5,52%,"1,914",49%,55%
Grover,Deep Roots,Barkskin,5,50%,251,42%,58%
Grover,Deep Roots,Force of Nature,5,53%,89,40%,67%
Grover,Deep Roots,Vine Grasp,5,53%,52,37%,70%
Grover,Deep Roots,Heavenly Agility,5,55%,36,35%,75%
Grover,Deep Roots,Rebound,5,56%,25,33%,78%
Grover,Deep Roots,Chopper,5,47%,76,33%,61%
Grover,Deep Roots,Overgrowth,5,40%,5,2%,77%
Grover,Deep Roots,Pick Up,5,33%,9,1%,64%
Grover,Deep Roots,Gentle Breeze,4,59%,605,54%,64%
Grover,Deep Roots,Verdant Expanse,4,55%,"19,777",54%,56%
Grover,Deep Roots,Fatalis,4,55%,"16,207",54%,56%
Grover,Deep Roots,Chop Down,4,55%,"12,459",54%,56%
Grover,Deep Roots,Perennial,4,55%,"6,735",53%,56%
Grover,Deep Roots,Unstoppable,4,54%,"2,605",51%,56%
Grover,Deep Roots,Adrenaline,4,53%,"2,781",51%,56%
Grover,Deep Roots,Barkskin,4,53%,474,47%,59%
Grover,Deep Roots,Force of Nature,4,53%,222,44%,61%
Grover,Deep Roots,Chopper,4,50%,142,40%,61%
Grover,Deep Roots,Vine Grasp,4,51%,109,39%,63%
Grover,Deep Roots,Rebound,4,52%,67,37%,67%
Grover,Deep Roots,Heavenly Agility,4,61%,13,32%,90%
Grover,Deep Roots,Pick Up,4,40%,64,25%,55%
Grover,Deep Roots,Overgrowth,4,40%,20,15%,64%
Grover,Deep Roots,Nature's Quickness,4,0%,1,0%,43%
Grover,Deep Roots,Unstoppable,3,56%,"5,252",54%,58%
Grover,Deep Roots,Adrenaline,3,55%,"4,234",53%,57%
Grover,Deep Roots,Chop Down,3,54%,"10,447",53%,55%
Grover,Deep Roots,Fatalis,3,54%,"10,342",53%,55%
Grover,Deep Roots,Verdant Expanse,3,54%,"7,621",53%,56%
Grover,Deep Roots,Gentle Breeze,3,56%,980,52%,60%
Grover,Deep Roots,Perennial,3,53%,"4,667",51%,54%
Grover,Deep Roots,Overgrowth,3,55%,282,48%,63%
Grover,Deep Roots,Barkskin,3,53%,594,48%,58%
Grover,Deep Roots,Chopper,3,51%,"2,992",48%,53%
Grover,Deep Roots,Heavenly Agility,3,54%,342,47%,61%
Grover,Deep Roots,Force of Nature,3,52%,476,46%,57%
Grover,Deep Roots,Vine Grasp,3,51%,375,45%,58%
Grover,Deep Roots,Rebound,3,53%,140,42%,64%
Grover,Deep Roots,Pick Up,3,51%,125,39%,62%
Grover,Deep Roots,Nature's Quickness,3,48%,45,30%,66%
Grover,Deep Roots,Unstoppable,2,55%,"5,979",54%,57%
Grover,Deep Roots,Gentle Breeze,2,56%,"1,353",53%,60%
Grover,Deep Roots,Chop Down,2,55%,"4,428",53%,57%
Grover,Deep Roots,Chopper,2,57%,592,52%,62%
Grover,Deep Roots,Verdant Expanse,2,55%,"2,175",52%,58%
Grover,Deep Roots,Perennial,2,54%,"5,298",52%,56%
Grover,Deep Roots,Adrenaline,2,54%,"4,752",52%,56%
Grover,Deep Roots,Fatalis,2,52%,"3,695",50%,54%
Grover,Deep Roots,Barkskin,2,51%,"4,047",49%,53%
Grover,Deep Roots,Force of Nature,2,51%,"3,662",49%,53%
Grover,Deep Roots,Overgrowth,2,52%,"1,345",48%,55%
Grover,Deep Roots,Vine Grasp,2,51%,"1,566",48%,55%
Grover,Deep Roots,Rebound,2,54%,344,47%,61%
Grover,Deep Roots,Pick Up,2,51%,209,42%,59%
Grover,Deep Roots,Heavenly Agility,2,48%,417,42%,54%
Grover,Deep Roots,Nature's Quickness,2,57%,45,40%,75%
Grover,Deep Roots,Adrenaline,1,55%,"17,448",54%,56%
Grover,Deep Roots,Perennial,1,55%,"7,764",54%,56%
Grover,Deep Roots,Barkskin,1,55%,"6,787",54%,57%
Grover,Deep Roots,Force of Nature,1,56%,"2,713",53%,58%
Grover,Deep Roots,Unstoppable,1,54%,"8,352",53%,56%
Grover,Deep Roots,Fatalis,1,56%,"1,650",52%,59%
Grover,Deep Roots,Gentle Breeze,1,55%,"2,264",52%,58%
Grover,Deep Roots,Overgrowth,1,55%,"2,058",52%,58%
Grover,Deep Roots,Vine Grasp,1,54%,"5,578",52%,56%
Grover,Deep Roots,Pick Up,1,55%,"1,329",51%,58%
Grover,Deep Roots,Rebound,1,55%,587,50%,60%
Grover,Deep Roots,Chop Down,1,53%,"2,741",50%,55%
Grover,Deep Roots,Verdant Expanse,1,53%,"2,034",50%,56%
Grover,Deep Roots,Heavenly Agility,1,54%,518,48%,59%
Grover,Deep Roots,Chopper,1,51%,"1,035",47%,55%
Grover,Deep Roots,Nature's Quickness,1,48%,152,37%,58%
Grover,Deep Roots,,0,66%,15,40%,93%
Grover,Ferocity,Heavenly Agility,5,61%,107,49%,73%
Grover,Ferocity,Force of Nature,5,61%,92,49%,74%
Grover,Ferocity,Verdant Expanse,5,51%,"2,224",48%,54%
Grover,Ferocity,Fatalis,5,52%,608,47%,57%
Grover,Ferocity,Perennial,5,48%,"1,699",44%,51%
Grover,Ferocity,Barkskin,5,50%,340,43%,56%
Grover,Ferocity,Adrenaline,5,50%,315,43%,57%
Grover,Ferocity,Unstoppable,5,49%,376,42%,56%
Grover,Ferocity,Vine Grasp,5,57%,63,41%,72%
Grover,Ferocity,Gentle Breeze,5,56%,51,40%,73%
Grover,Ferocity,Chop Down,5,41%,739,36%,46%
Grover,Ferocity,Chopper,5,41%,53,25%,57%
Grover,Ferocity,Rebound,5,42%,40,23%,61%
Grover,Ferocity,Pick Up,5,50%,8,16%,83%
Grover,Ferocity,Overgrowth,5,25%,12,0%,52%
Grover,Ferocity,Nature's Quickness,5,25%,4,0%,62%
Grover,Ferocity,Rebound,4,66%,62,51%,80%
Grover,Ferocity,Unstoppable,4,51%,712,46%,56%
Grover,Ferocity,Perennial,4,50%,656,45%,55%
Grover,Ferocity,Adrenaline,4,48%,"1,405",45%,52%
Grover,Ferocity,Fatalis,4,50%,479,44%,56%
Grover,Ferocity,Verdant Expanse,4,47%,"1,087",43%,51%
Grover,Ferocity,Heavenly Agility,4,60%,43,42%,78%
Grover,Ferocity,Chop Down,4,49%,338,42%,56%
Grover,Ferocity,Barkskin,4,47%,303,40%,54%
Grover,Ferocity,Force of Nature,4,51%,115,39%,62%
Grover,Ferocity,Gentle Breeze,4,52%,59,36%,68%
Grover,Ferocity,Vine Grasp,4,44%,59,28%,59%
Grover,Ferocity,Chopper,4,39%,73,25%,53%
Grover,Ferocity,Pick Up,4,30%,13,3%,58%
Grover,Ferocity,Nature's Quickness,4,40%,5,2%,77%
Grover,Ferocity,Overgrowth,4,20%,10,0%,47%
Grover,Ferocity,Perennial,3,53%,434,47%,60%
Grover,Ferocity,Unstoppable,3,49%,"1,474",46%,53%
Grover,Ferocity,Vine Grasp,3,54%,188,45%,63%
Grover,Ferocity,Verdant Expanse,3,50%,696,45%,54%
Grover,Ferocity,Barkskin,3,51%,347,44%,58%
Grover,Ferocity,Adrenaline,3,50%,565,44%,55%
Grover,Ferocity,Overgrowth,3,54%,120,42%,65%
Grover,Ferocity,Heavenly Agility,3,47%,360,40%,53%
Grover,Ferocity,Chop Down,3,45%,426,39%,51%
Grover,Ferocity,Fatalis,3,43%,751,38%,48%
Grover,Ferocity,Force of Nature,3,43%,226,34%,51%
Grover,Ferocity,Chopper,3,39%,574,34%,45%
Grover,Ferocity,Rebound,3,44%,96,32%,57%
Grover,Ferocity,Gentle Breeze,3,43%,132,32%,54%
Grover,Ferocity,Nature's Quickness,3,46%,15,19%,74%
Grover,Ferocity,Pick Up,3,38%,36,19%,58%
Grover,Ferocity,Barkskin,2,47%,"1,721",44%,50%
Grover,Ferocity,Overgrowth,2,46%,868,42%,51%
Grover,Ferocity,Pick Up,2,57%,50,41%,74%
Grover,Ferocity,Adrenaline,2,47%,359,41%,54%
Grover,Ferocity,Vine Grasp,2,46%,581,41%,52%
Grover,Ferocity,Perennial,2,48%,252,40%,56%
Grover,Ferocity,Unstoppable,2,46%,438,40%,52%
Grover,Ferocity,Force of Nature,2,44%,650,39%,49%
Grover,Ferocity,Heavenly Agility,2,44%,434,38%,51%
Grover,Ferocity,Chop Down,2,45%,221,36%,53%
Grover,Ferocity,Gentle Breeze,2,45%,193,36%,54%
Grover,Ferocity,Fatalis,2,42%,360,36%,49%
Grover,Ferocity,Verdant Expanse,2,42%,199,33%,51%
Grover,Ferocity,Chopper,2,40%,108,28%,52%
Grover,Ferocity,Rebound,2,39%,120,27%,50%
Grover,Ferocity,Nature's Quickness,2,42%,35,23%,62%
Grover,Ferocity,Barkskin,1,55%,482,49%,60%
Grover,Ferocity,Chop Down,1,57%,192,48%,66%
Grover,Ferocity,Chopper,1,55%,296,48%,63%
Grover,Ferocity,Force of Nature,1,53%,384,47%,60%
Grover,Ferocity,Vine Grasp,1,50%,"1,875",47%,53%
Grover,Ferocity,Gentle Breeze,1,52%,285,44%,59%
Grover,Ferocity,Fatalis,1,51%,266,44%,59%
Grover,Ferocity,Adrenaline,1,49%,757,44%,53%
Grover,Ferocity,Heavenly Agility,1,52%,225,43%,60%
Grover,Ferocity,Overgrowth,1,52%,195,43%,61%
Grover,Ferocity,Unstoppable,1,50%,392,43%,56%
Grover,Ferocity,Rebound,1,50%,142,40%,61%
Grover,Ferocity,Pick Up,1,50%,118,39%,62%
Grover,Ferocity,Verdant Expanse,1,49%,159,39%,59%
Grover,Ferocity,Perennial,1,44%,347,37%,51%
Grover,Ferocity,Nature's Quickness,1,48%,31,27%,69%
Grover,Rampant Blooming,Verdant Expanse,5,52%,"6,470",51%,54%
Grover,Rampant Blooming,Perennial,5,49%,"11,694",48%,50%
Grover,Rampant Blooming,Gentle Breeze,5,55%,278,47%,62%
Grover,Rampant Blooming,Adrenaline,5,52%,655,47%,57%
Grover,Rampant Blooming,Fatalis,5,50%,"1,184",46%,54%
Grover,Rampant Blooming,Unstoppable,5,50%,620,45%,55%
Grover,Rampant Blooming,Barkskin,5,51%,354,44%,57%
Grover,Rampant Blooming,Chop Down,5,44%,906,40%,48%
Grover,Rampant Blooming,Force of Nature,5,50%,104,37%,62%
Grover,Rampant Blooming,Rebound,5,52%,55,36%,69%
Grover,Rampant Blooming,Heavenly Agility,5,47%,48,30%,65%
Grover,Rampant Blooming,Overgrowth,5,62%,8,29%,95%
Grover,Rampant Blooming,Vine Grasp,5,44%,56,28%,60%
Grover,Rampant Blooming,Nature's Quickness,5,66%,3,25%,100%
Grover,Rampant Blooming,Chopper,5,44%,25,21%,66%
Grover,Rampant Blooming,Pick Up,5,0%,4,0%,31%
Grover,Rampant Blooming,Verdant Expanse,4,52%,"3,351",50%,54%
Grover,Rampant Blooming,Perennial,4,52%,"2,744",50%,55%
Grover,Rampant Blooming,Fatalis,4,52%,"1,191",48%,56%
Grover,Rampant Blooming,Adrenaline,4,50%,"1,504",47%,53%
Grover,Rampant Blooming,Vine Grasp,4,57%,126,46%,68%
Grover,Rampant Blooming,Rebound,4,60%,56,44%,76%
Grover,Rampant Blooming,Unstoppable,4,46%,"5,101",44%,48%
Grover,Rampant Blooming,Gentle Breeze,4,50%,380,43%,56%
Grover,Rampant Blooming,Chop Down,4,49%,564,43%,54%
Grover,Rampant Blooming,Barkskin,4,47%,386,41%,54%
Grover,Rampant Blooming,Chopper,4,52%,107,40%,64%
Grover,Rampant Blooming,Force of Nature,4,45%,111,34%,57%
Grover,Rampant Blooming,Heavenly Agility,4,40%,27,18%,62%
Grover,Rampant Blooming,Overgrowth,4,38%,26,16%,60%
Grover,Rampant Blooming,Pick Up,4,40%,5,2%,77%
Grover,Rampant Blooming,Nature's Quickness,4,0%,3,0%,34%
Grover,Rampant Blooming,Adrenaline,3,51%,"2,046",49%,54%
Grover,Rampant Blooming,Barkskin,3,52%,665,47%,57%
Grover,Rampant Blooming,Perennial,3,51%,"1,150",47%,54%
Grover,Rampant Blooming,Force of Nature,3,52%,491,46%,57%
Grover,Rampant Blooming,Verdant Expanse,3,49%,"2,038",46%,52%
Grover,Rampant Blooming,Unstoppable,3,49%,"1,788",46%,52%
Grover,Rampant Blooming,Gentle Breeze,3,49%,938,45%,53%
Grover,Rampant Blooming,Heavenly Agility,3,50%,436,44%,56%
Grover,Rampant Blooming,Fatalis,3,47%,"1,911",44%,50%
Grover,Rampant Blooming,Chop Down,3,48%,900,43%,52%
Grover,Rampant Blooming,Rebound,3,48%,343,41%,55%
Grover,Rampant Blooming,Chopper,3,43%,817,39%,47%
Grover,Rampant Blooming,Nature's Quickness,3,56%,46,38%,74%
Grover,Rampant Blooming,Vine Grasp,3,45%,359,38%,52%
Grover,Rampant Blooming,Overgrowth,3,47%,137,36%,58%
Grover,Rampant Blooming,Pick Up,3,39%,38,20%,58%
Grover,Rampant Blooming,Fatalis,2,52%,"1,806",49%,55%
Grover,Rampant Blooming,Unstoppable,2,52%,"1,678",49%,55%
Grover,Rampant Blooming,Gentle Breeze,2,52%,"1,203",48%,55%
Grover,Rampant Blooming,Adrenaline,2,51%,"1,548",48%,55%
Grover,Rampant Blooming,Barkskin,2,48%,"1,855",45%,51%
Grover,Rampant Blooming,Chop Down,2,49%,522,44%,55%
Grover,Rampant Blooming,Perennial,2,49%,520,44%,55%
Grover,Rampant Blooming,Vine Grasp,2,46%,"5,021",44%,48%
Grover,Rampant Blooming,Verdant Expanse,2,48%,625,43%,54%
Grover,Rampant Blooming,Force of Nature,2,47%,"1,263",43%,50%
Grover,Rampant Blooming,Overgrowth,2,45%,"4,819",43%,47%
Grover,Rampant Blooming,Heavenly Agility,2,45%,"4,534",43%,47%
Grover,Rampant Blooming,Nature's Quickness,2,56%,78,42%,70%
Grover,Rampant Blooming,Rebound,2,49%,388,42%,55%
Grover,Rampant Blooming,Chopper,2,49%,235,41%,58%
Grover,Rampant Blooming,Pick Up,2,48%,77,33%,62%
Grover,Rampant Blooming,Adrenaline,1,53%,"2,899",50%,55%
Grover,Rampant Blooming,Gentle Breeze,1,53%,"1,586",50%,57%
Grover,Rampant Blooming,Chop Down,1,53%,975,49%,57%
Grover,Rampant Blooming,Unstoppable,1,52%,"1,885",49%,55%
Grover,Rampant Blooming,Vine Grasp,1,51%,"2,537",49%,54%
Grover,Rampant Blooming,Force of Nature,1,51%,"1,454",48%,55%
Grover,Rampant Blooming,Barkskin,1,51%,"1,446",48%,55%
Grover,Rampant Blooming,Nature's Quickness,1,57%,144,47%,68%
Grover,Rampant Blooming,Rebound,1,52%,627,47%,57%
Grover,Rampant Blooming,Fatalis,1,51%,873,47%,55%
Grover,Rampant Blooming,Heavenly Agility,1,52%,423,46%,58%
Grover,Rampant Blooming,Overgrowth,1,50%,731,45%,55%
Grover,Rampant Blooming,Pick Up,1,51%,305,44%,58%
Grover,Rampant Blooming,Perennial,1,49%,518,44%,55%
Grover,Rampant Blooming,Verdant Expanse,1,48%,528,42%,53%
Grover,Rampant Blooming,Chopper,1,45%,288,38%,53%
Imani,Mana Rift,Elemental Grace,5,56%,639,51%,61%
Imani,Mana Rift,Ancient Duty,5,53%,"2,305",51%,56%
Imani,Mana Rift,Affinity,5,50%,"2,015",47%,52%
Imani,Mana Rift,Draconic Will,5,50%,"1,283",47%,54%
Imani,Mana Rift,Pyretic Momentum,5,51%,590,46%,57%
Imani,Mana Rift,Ice in her Veins,5,52%,299,45%,60%
Imani,Mana Rift,Discipline,5,54%,93,41%,67%
Imani,Mana Rift,Elemental Barrier,5,50%,105,38%,62%
Imani,Mana Rift,Swift Sear,5,46%,181,37%,56%
Imani,Mana Rift,Cooling Runes,5,50%,71,36%,65%
Imani,Mana Rift,Heat Sink,5,53%,43,35%,71%
Imani,Mana Rift,Pilgrimage,5,52%,38,33%,71%
Imani,Mana Rift,Permafrost,5,45%,84,31%,58%
Imani,Mana Rift,Arcane Ice,5,47%,17,20%,73%
Imani,Mana Rift,Arcane Flame,5,34%,46,17%,51%
Imani,Mana Rift,Mystic Fire,5,38%,26,16%,60%
Imani,Mana Rift,Elemental Grace,4,56%,"1,291",52%,59%
Imani,Mana Rift,Draconic Will,4,56%,"1,186",52%,60%
Imani,Mana Rift,Ice in her Veins,4,57%,635,51%,62%
Imani,Mana Rift,Ancient Duty,4,56%,546,50%,61%
Imani,Mana Rift,Discipline,4,56%,380,49%,62%
Imani,Mana Rift,Pyretic Momentum,4,53%,848,48%,57%
Imani,Mana Rift,Swift Sear,4,54%,273,47%,62%
Imani,Mana Rift,Affinity,4,50%,913,46%,54%
Imani,Mana Rift,Arcane Flame,4,55%,165,45%,64%
Imani,Mana Rift,Elemental Barrier,4,49%,152,39%,59%
Imani,Mana Rift,Heat Sink,4,45%,572,39%,50%
Imani,Mana Rift,Cooling Runes,4,44%,145,34%,55%
Imani,Mana Rift,Mystic Fire,4,48%,56,31%,64%
Imani,Mana Rift,Permafrost,4,45%,84,31%,58%
Imani,Mana Rift,Pilgrimage,4,43%,107,31%,55%
Imani,Mana Rift,Arcane Ice,4,35%,17,9%,60%
Imani,Mana Rift,Cooling Runes,3,57%,407,51%,63%
Imani,Mana Rift,Elemental Grace,3,54%,620,49%,59%
Imani,Mana Rift,Pilgrimage,3,56%,257,48%,64%
Imani,Mana Rift,Affinity,3,52%,"1,382",48%,55%
Imani,Mana Rift,Pyretic Momentum,3,51%,720,47%,56%
Imani,Mana Rift,Discipline,3,52%,487,46%,58%
Imani,Mana Rift,Swift Sear,3,52%,477,46%,58%
Imani,Mana Rift,Permafrost,3,51%,443,45%,57%
Imani,Mana Rift,Ancient Duty,3,51%,364,44%,58%
Imani,Mana Rift,Ice in her Veins,3,49%,585,43%,54%
Imani,Mana Rift,Arcane Flame,3,49%,257,41%,57%
Imani,Mana Rift,Draconic Will,3,48%,418,41%,54%
Imani,Mana Rift,Mystic Fire,3,50%,162,40%,59%
Imani,Mana Rift,Elemental Barrier,3,49%,209,40%,58%
Imani,Mana Rift,Heat Sink,3,46%,183,37%,56%
Imani,Mana Rift,Arcane Ice,3,32%,46,15%,49%
Imani,Mana Rift,Ancient Duty,2,54%,689,49%,59%
Imani,Mana Rift,Swift Sear,2,53%,"1,073",49%,57%
Imani,Mana Rift,Pyretic Momentum,2,53%,827,49%,58%
Imani,Mana Rift,Arcane Flame,2,55%,339,48%,62%
Imani,Mana Rift,Elemental Barrier,2,54%,284,47%,62%
Imani,Mana Rift,Elemental Grace,2,53%,402,47%,60%
Imani,Mana Rift,Ice in her Veins,2,51%,447,45%,57%
Imani,Mana Rift,Pilgrimage,2,50%,335,43%,57%
Imani,Mana Rift,Discipline,2,48%,864,43%,52%
Imani,Mana Rift,Permafrost,2,47%,776,43%,52%
Imani,Mana Rift,Draconic Will,2,50%,240,42%,59%
Imani,Mana Rift,Cooling Runes,2,47%,789,42%,51%
Imani,Mana Rift,Affinity,2,50%,207,41%,59%
Imani,Mana Rift,Mystic Fire,2,49%,163,39%,58%
Imani,Mana Rift,Heat Sink,2,43%,257,35%,51%
Imani,Mana Rift,Arcane Ice,2,52%,34,32%,73%
Imani,Mana Rift,Mystic Fire,1,57%,318,50%,64%
Imani,Mana Rift,Ice in her Veins,1,54%,800,49%,58%
Imani,Mana Rift,Swift Sear,1,53%,"1,400",49%,56%
Imani,Mana Rift,Arcane Flame,1,54%,430,48%,60%
Imani,Mana Rift,Heat Sink,1,53%,590,48%,59%
Imani,Mana Rift,Cooling Runes,1,53%,456,47%,59%
Imani,Mana Rift,Elemental Grace,1,52%,655,47%,57%
Imani,Mana Rift,Pyretic Momentum,1,52%,644,47%,57%
Imani,Mana Rift,Pilgrimage,1,52%,500,46%,58%
Imani,Mana Rift,Discipline,1,52%,416,46%,58%
Imani,Mana Rift,Affinity,1,52%,294,45%,60%
Imani,Mana Rift,Ancient Duty,1,50%,483,45%,56%
Imani,Mana Rift,Permafrost,1,49%,410,43%,55%
Imani,Mana Rift,Arcane Ice,1,56%,76,42%,70%
Imani,Mana Rift,Elemental Barrier,1,53%,92,40%,66%
Imani,Mana Rift,Draconic Will,1,46%,93,33%,59%
Imani,Pyromania,Swift Sear,5,56%,360,49%,63%
Imani,Pyromania,Draconic Will,5,51%,"1,452",48%,54%
Imani,Pyromania,Pyretic Momentum,5,52%,448,46%,58%
Imani,Pyromania,Elemental Grace,5,51%,506,46%,57%
Imani,Pyromania,Affinity,5,49%,"2,104",46%,52%
Imani,Pyromania,Ancient Duty,5,49%,956,45%,53%
Imani,Pyromania,Pilgrimage,5,54%,132,43%,65%
Imani,Pyromania,Heat Sink,5,54%,95,42%,67%
Imani,Pyromania,Discipline,5,53%,109,41%,65%
Imani,Pyromania,Ice in her Veins,5,47%,435,41%,53%
Imani,Pyromania,Cooling Runes,5,50%,161,40%,60%
Imani,Pyromania,Permafrost,5,54%,72,39%,68%
Imani,Pyromania,Elemental Barrier,5,46%,118,35%,58%
Imani,Pyromania,Arcane Flame,5,45%,115,33%,56%
Imani,Pyromania,Arcane Ice,5,39%,33,19%,59%
Imani,Pyromania,Mystic Fire,5,33%,6,0%,68%
Imani,Pyromania,Discipline,4,54%,609,49%,60%
Imani,Pyromania,Ancient Duty,4,54%,589,48%,59%
Imani,Pyromania,Draconic Will,4,52%,"1,197",48%,56%
Imani,Pyromania,Pyretic Momentum,4,51%,925,47%,56%
Imani,Pyromania,Elemental Grace,4,51%,543,45%,56%
Imani,Pyromania,Ice in her Veins,4,49%,"1,173",45%,53%
Imani,Pyromania,Affinity,4,47%,"2,119",44%,49%
